,original_sentences,adversarial_sentences
188,Please CALL 08712402779 immediately as there is an urgent message waiting for you,There is as much as there is waiting for you
189,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)","Hungry? If you're feeling up and up 4 it, call us. Call 08718730555 just in case. To call 08712460324 (10p/min)"
190,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,Can U get 2 call me NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can chat with me NOW. JANE JONES
191,network operator. The service is free. For T & C's visit 80488.biz,network The service is free & open
192,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,Enjoy the jamster.co.uk club with your friends for 2 hours of music and videos+2 hours of fun and get more fun from jamster..com.uk! For more information call: 09701213186
193,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","Get 3 of the 4 tone, reply lionm 4 poly or lionp 4 poly. 4 more go 2 of the 3 tone. Tones 3GBP network operator rates apply"
194,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!","1) Answer “Harry Potter and the Order of the Phoenix” 5) reply HARRY, answer 5 questions for a chance to be the first among readers!"
195,Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,Ur answer is now: Ur next question is: What was the name of the 'Uptown Girl' in the 80's? Ur next answer txt ur ANSWER to: Good luck!
196,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk","If you want a St George's Day pic, text PIC to 89080 dont miss out, then send us a message wk a saucy pic or more pics ct 0870241182716 £3/wk"
197,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","Croydon, 08707509020 Just 20p per min. Ltd, PO Box 1327 Croydon CR9 5WB"
198,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324","Pic Pic Nick, and Tom, Pete and... well... In fact, all you have to do is try to chat with the upload call 08718730666 (10p/min). If you can't stop the upload, call 08612460324"
199,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",500+ Mobiles from YOU MUST GO! Txt: NOKIA to No: 89545 & get yours today!From ONLY £1.99!
200,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Double Orange & Double Txt & 1/2 price on Latest Orange & Txt Callers for the very latest price 08000839402 or
201,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,No. 1st Tone 4 ur txt every week! Just txt NOK to get No.1st Tone FREE! so get txtin now and tell ur friends at 150p/tone. Thanks for listening HL!
202,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU","URGENT, IMPORTANT THINGS TO KNOW: TODAY IS YOUR LUCKY DAY! IF YOU CAN FIND OUT HOW TO LOG ONTO IT, THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
203,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,This has been a long time coming. This is my final attempt to contact u! Txt CHAT to 8668888 LDN 18 yrs
204,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,Enter to win: 1 £500 of CD gift vouchers & Free entry 2 our £100 weekly pass to txt MUSIC to 87066-5200 1 win150ppmx3age16
205,For sale - arsenal dartboard. Good condition but no doubles or trebles!,Description - Good condition but not dangerous or dangerous
206,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,Free 1st week of free Txt POD for a chance 2 win 40GB of Txt or £250 cash every wk. TXT POD to 8412814 or custcare 08712405020.
207,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,"As a registered charity, a 4 £100 gift voucher will be entered on receipt of a correct phone number to 80062 Whatsapp. No1 on the charts"
208,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Summer is finally here! Fancy a chat or flirt with sexy singles this yr? To get MATCHED up just go to SUMMER. Free. Join. Txt txt STOP Help08714742804
209,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,CLAIRE here am havin borin time & am now alone U wanna play 2nite? Chat now 09099725823 hope you like U CLAIRE!
210,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,Bought one and now it’s two more tones etc
211,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","09066362231 URGENT! this is the 2nd attempt to reach YOU! I won a £2,000 cash prize on 02/06/02 and a £1,000 prize on 08/07/03 on 02 /06/03! this was the 2 second attempt to Reach YOU! call 0906636 2231 ASAP!"
212,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+","Phone numbers 07801543489 are guaranteed to be compatible with either a Nokia Phone, a 40GB iPod MP3 player or a £500 SIM card. Txt-US-US TC-LLC NY-USA 150p/Mt msgrcvd18+"
213,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,"Hi its LUCY Hubby at meetins all day, & I will B alone at hotel U.S. Pls leave msg 2day 09099726395@gmail.com"
214,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz","Anonymous has been credited with 500 FREE downloads. To donate, just txt the word: CREDIT to No: 80488."
215,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO","Reply With Quote JSco: Energy is high, but u may not know where 2channel it. ur leadership skills r strong. Psychic? Reply With Quote w/question. Reply"
216,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","For more information, please call 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is not available for call"
217,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,Thanks for listening! Now sing along with the stars with Karaoke with your friends! For a FREE trial just sign up with us now.
218,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,Our brand new music streaming service is now available. The free music player will arrive soon. Just install on your phone to browse music from the library.
219,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate","URGENT! Mr. No was awarded a £2,000 Reward for Caller ID on 1/08/03! This is our 2nd attempt to contact YOU! Call us at BOX95QUICK.COM.Rate Rate"
220,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,"You have won a Nokia. This is what you get when you win our FREE trial. To take part, text Nokia to 86021."
221,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow","Subscribe from £0.99 For 1 month's free access to all the latest news and information, plus 10 free texts and 20 photo messages, click here Terms apply: www.orange.co.uk/ow"
222,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,Ur account is currently 500 GB - to get ur cash-in now GO to 86688 only. CC 08718720201.
223,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,TXT AUCTION - A BRAND NEW 7250 is up 4 auctioneers. Auction is FREE 2 sign up & take part! Txt to 86021 now!
224,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,PRIVATE! The Account Statement shows the following information: S. I. M. Call 08719899230 Identifier Code: 41685 Date: 07/11/04
225,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,"As a result of the last yr, a £100 gift voucher will b entered on receipt with a correct address. When are the next Txt ans to 80062"
226,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,"URGENT! The Mobile World Congress has been awarded with a £2000,000 prize. Call 09061790121 from land line. The event is scheduled for 12hrs only 150ppm"
227,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,RT-KIng: Need help? info@ringtoneking.co.uk or call 08701237397 You must be a member of the Club to be redeemable at any time. Enjoy!
228,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,U have a great admirer who is helping 2 make contact with U-find out who they are and what they are doing so call on 09058094599
229,500 free text msgs. Just text ok to 80488 and we'll credit your account,500 Shares Just text me to confirm and confirm your account
230,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS","You have been selected to stay in 1 of 250 top hotels in the UK - FOR NOTHING! Holiday packages start at £350! For more information Call London 02072069400. Bx 526,000"
231,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p","TONE TITLE to 8007 Titles: TONE DRACULA TO 8007 TONE TITLES: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT, POBox36504W45WQT"
232,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","The new regulations allow companies to sell their products via SMS, so they are paying for their ""suppliers"", just as a company has to give a price on what they sell to B. G."
233,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,I kinda lnly hope it's like 2 keep me company! Jst got a moby wanna see my pic?Txt or reply to 82242: 08712317606 2rcvt or replyto 82242 : 087 12317606 stop to82242
234,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk","Enter below for ur chance to win a £250 cash every wk. ACTION NOW: 08712405022, 1x150p/wk"
235,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,$1250 This is the 2nd attempt to contact me. I have to pay £1250 CALL 09071512433 b4 050703 0000 callcost: max£7. 50
236,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,Hi if ur 4 saucy and fun wiv busty married woman Ami all next week now is sort time 09099726429.
237,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,URGENT! We are trying to get you to U. Todays Bank so that you have won a £800 cheque. Call 09050001295 from land line. £800. Valid 12hrs only
238,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,The correct number for this is 391784. But your wap is not correct.
239,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,"todays email me your number with 0089(my last four digits) and you will be eligible to received a £350 award. If your number is incorrect, please call 09063442151 to claim your £350 reward."
240,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,Free-send a message to ringtone-get 1st week free-send message to 81618-?3 per week
241,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,Quick Quiz: Win a top Sony Xperia XZ Premium player if u know which country Algarve is in? Txt ansr to win £1.50.
242,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.","Sorry, a product you ordered from Amazon could not be delivered as you do not have sufficient credit. Please sign up to receive the full product."
243,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,Join us LIVE for a live chat just 60p/min. Choose your girl and join in the fun! Call 09094646899 now! Join us for the UK's biggest live chat! VU BCM1896WC1N3XX
244,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,WOW! The R Back. WIN THAT 2007 UK TOUR! Win VIP Tickets & pre-book with Txt Club. Txt CLUB to be held in London Ltd.
245,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....","Hi, this is Mandy. I am calling from the UK and you are eligible to receive £5000.00 in cash from the Prize draw.....Please telephone 09041940223 to claim your prize before 29/03/05 or your prize will be transferred to someone else...."
246,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,"FIVE DAYS OF BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to book either a cruise or a cruise of£2000 CASH. To book, text out txt X to 07786200117"
247,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,Someone has broken into our service and is on your phone because of you!To find out who it is call from landline:
248,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,Customer Loyalty 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 is available from ONLY £10. Subscribe to No:81151 & get a free trial.
249,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,OFFICIAL AUCTION You have won a Nokia. This is what you get when you win our FREE Gift Card. To take part text Nokia to 86021.Nokia Row/W1JHL1
250,Call FREEPHONE 0800 542 0578 now!,advertisement
251,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,Buy Space Invaders 4 a chance 2 win Arcade Game of the Day 0 for £2 Arcade (std WAP) See o2.co.uk/games-of-the-day + No purchase
252,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","We are looking for any home worth £500 - £75,000. Homeowners + Homeowners Have you been previously contacted? We can still help. Call Free 0800 1956669 or call us back 'help'"
253,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,"BIG BROTHER ALERT! The family has been contacted for a cash reward of 10k cash or #150000. Call: NTT PO Box CRO1327, Birmingham BT Landline Cost 150ppm mobiles vary"
254,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk","UPDATE: We have a winner! T.J. won an award! More exciting prizes soon, so keep an eye on Twitter or visit us!"
255,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,"Todays Voda orders ending 1225 are selected to receive a voucher. If you have a voucher, please call 08712300220 and enter the code 3100 in the app"
256,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",Send me pics straight to your phone!! I love me getting pics and videos just for you xx Text PICS to 89555 now! txt is a 150p text message. XxX
257,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx","Open Chat. Get instant entry into 121 chat rooms at a fraction of the cost. Call 09050280520, or call 090 50280520 to register. 25p, DPS, Bcm box 8027 Ldn, wc1n3xx"
258,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV","FREE SIM card for Motorola with upto 12mths of a linerental, 500 FREE x-net, and FREE SIM card. Call us on 08001950382 or call us on"
259,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate","This is the 2nd time I have tried 2 of u. U have won the 750 Pound prize. If u think this is easy, call 08718726970 NOW! Only 10p per person."
260,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,You have a guaranteed £1000 cashback and a £2000 claim yr ago. A customer service representative on
261,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,Would you like to know why they are so famous? Because they were nearly killed in the war
262,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,HMV BONUS You can order 500 pounds of HMV to be delivered today. Just answer 4 easy questions. Now! Send HMV at 86688 More info
263,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a great admirer who is helping 2 make contact with U-find out who they are and what they are doing so call on 09058094594
264,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,UPDATE: U've been disconnected. This is our final attempt to contact u! Txt CHAT to 86688 LDN.
265,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,"* Please call 09061743811 from the ABTA number 4* Tenerife, or £5000 to await. SAE T&Cs Box 326 CW25WX 150ppm"
266,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL: NO ONE KNOWS WHAT YOU'RE DOINGCALL 0870753331018+
267,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)","1. Hey U, i just got 1 of these fones, reply to this txt & ill send U my pics, hurry up Im so busy at work xxx2."
268,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Free entry in a Txt comp for a chance to win an iPad. Text Txt POD to 80182 to get entry (maximum txt rate) T&C's code is 08452810073 for entry.
269,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,1 TEXTBUDDY Chat 2 contact all the guys in the area 4 just 25p Free 2 receive Search postcode or at least TXT ONE name to 89693. 08715500022 08715600022 cnl
270,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000. U have 2 enter all ur personal info & personal details. Thank u for being Careful!
271,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,Free 1st week of free Txt VPOD for a chance 2 win 40GB of Txt or £250 cash every wk. TXT VPOD to 8130314 or custcare 08712405020.
272,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB,More people are interested in your area. Call 09090204448 and join like us on Facebook. Why not have 1? There's 1 this evening. A£1.50. LS278BB
273,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","WELL DONE! Season 4* Costa Del Sol is back in action and we await your return! Call 09050090044 Now Available: SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, £2.50"
274,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,Guess what! Do you know who this person is? Wanna find out who it is? Give us a call on 09065394973 from the number below.March 18
275,it to 80488. Your 500 free text messages are valid until 31 December 2005.,it is believed that these messages are valid until 31 December 2005.
276,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,If you have won a guaranteed £200 award or even £1000 cashto win a UR award call free on 08000407165 or click here for details on how to use PHP
277,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,When and where will the 2006 FIFA World Cup be held? Send STOP to this address to request a service
278,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm,"Note: Please call 09061743810 from the ABTA complimentary office in Tenerife, Spain or #5000 in Barcelona, Spain. SAE T&Cs Box 326 CW25WX 150 ppm"
279,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,Hope you enjoyed your new stop to 61610 to be visited by
280,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,- yo-Here comes a new selection of links for our readers to get for free. Just click & open the next link sent to your fone...
281,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,Great news! Call 08006344447 to claim your guaranteed £1000 CASH or £2000 CASH back to your bank NOW!
282,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",You can WIN £100 of Amazon Gift Vouchers every week starting NOW Txt the word to 8706699.
283,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,Free half price Orange line rental & latest camera phones. Had a camera phone 11mths? Call us for free on 08000938767 to register now!
284,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!","Call 09094100151 to register your account. Calls cast 10p/min (mobility) Service provided by AOM, just call AOM and wait until u stop. Ages 18+ only!"
285,"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm","URGENT! This is the 2nd attempt to reach YOU! You WON a £2,000 Reward! Caller ID was stolen on 02/06/03! this is the second attempt to Reach YOU! Call 09066362220 ASAP! BOX97N7QP, London"
286,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p","TONE TITLE to 8007 Titles: TONE DRACULA TO 8007 TONE TITLES: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT, POBox36504W45WQT"
287,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,"Your friends are waiting for you! You can text your AGE followed by your GENDER as well as M or FENDER. For example, if you want to send a message, you can text YOUR AGE follow by a G. e.g.23G."
288,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop","Use web2mobile to send ur 250m messages-Text OK to 84025 now!Use web 2mobile to receive ur 250 m messages. Join us for 1.50p/wk. T&C BOX139, LA32WU. 16. Remove txtX or stop"
289,85233 FREE>Ringtone!Reply REAL,NOT REAL
290,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,"Well done ENGLAND! Get your official phone number, phone number or colour of your choice on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt £0.99 W111WX £1.50"
291,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16","Final Chance! Claim ur £150 worth of raffle tickets today! Text YES to 85023 now!T T Cs SavaMob POBOX84, M263UZ. £3.00 - 16"
292,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE! The 2004 registration number for 07742676969 shows 786 unredeemed addresses. To claim call 08719180248 Identifier Code: 07742686969
293,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE","if you want to unsubscribe from your inclusive site, pls goto ***** login= ***** unsubscribe. STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
294,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk","If you want a St George's Day pic, text PIC to 89080 dont miss out, then send us a message wk a saucy pic or more pics ct 0870241182716 £3/wk"
295,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,You are a lucky winner and you have been specially selected to receive £1000 cash or a £2000 voucher to a charity. Click here to register or call 0844 571 10p
296,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop","How To Submit To Drinks On Us For your holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Ireland.The Quiz Starts Saturday! Stop"
297,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription","You can WIN £100 of our Gift Vouchers every week starting NOW Txt the word 'Win' to 87066. SkillGame, 1Winaweek, 1"
